0	10.8735	10.8736
250	6.3741	6.3779
500	5.9858	5.9840
750	5.7656	5.7764
1000	5.6156	5.6105
1250	5.4930	5.5063
1500	5.4022	5.4007
1750	5.3150	5.3071
2000	5.2603	5.2488
2250	5.2037	5.1889
2500	5.1451	5.1465
2750	5.1018	5.1001
3000	5.0558	5.0680
3250	5.0145	5.0050
3500	4.9678	4.9801
3750	4.9384	4.9493
4000	4.9119	4.9071
4250	4.8796	4.8820
4500	4.8304	4.8466
4750	4.8210	4.8273
5000	4.7812	4.7947
5250	4.7705	4.7726
5500	4.7460	4.7403
5750	4.7383	4.7181
6000	4.7101	4.6995
6250	4.6805	4.6946
6500	4.6591	4.6609
6750	4.6518	4.6427
7000	4.6412	4.6398
7250	4.6237	4.6294
7500	4.6211	4.6233
7750	4.6094	4.6003
8000	4.5779	4.5943
8250	4.5734	4.5705
8500	4.5660	4.5726
8750	4.5661	4.5678
9000	4.5568	4.5525
9250	4.5450	4.5487
9500	4.5337	4.5283
9750	4.5246	4.5279
10000	4.5227	4.5217
10250	4.5029	4.4995
10500	4.5037	4.4882
10750	4.5056	4.4937
11000	4.4982	4.4942
11250	4.4910	4.4900
11500	4.4763	4.4813
11750	4.4670	4.4760
12000	4.4647	4.4683
12250	4.4565	4.4694
12500	4.4679	4.4526
12750	4.4588	4.4515
13000	4.4428	4.4462
13250	4.4458	4.4318
13500	4.4316	4.4458
13750	4.4403	4.4454
14000	4.4282	4.4299
14250	4.4261	4.4345
14500	4.4316	4.4240
14750	4.4133	4.4206
15000	4.4106	4.4281
15250	4.4128	4.4145
15500	4.4102	4.4218
15750	4.4127	4.4181
16000	4.4062	4.4004
16250	4.4019	4.3943
16500	4.4053	4.3956
16750	4.3903	4.3886
17000	4.3834	4.3763
17250	4.3830	4.3953
17500	4.3944	4.3839
17750	4.3848	4.3835
18000	4.3815	4.3679
18250	4.3740	4.3805
18500	4.3742	4.3824
18750	4.3788	4.3713
19000	4.3722	4.3641
19250	4.3666	4.3599
19500	4.3596	4.3646
19750	4.3590	4.3656
20000	4.3568	4.3560
20250	4.3561	4.3659
20500	4.3680	4.3570
20750	4.3555	4.3584
21000	4.3540	4.3583
21250	4.3429	4.3422
21500	4.3555	4.3534
21750	4.3462	4.3546
22000	4.3493	4.3453
22250	4.3466	4.3384
22500	4.3430	4.3565
22750	4.3467	4.3420
23000	4.3614	4.3322
23250	4.3392	4.3377
23500	4.3273	4.3420
23750	4.3393	4.3468
24000	4.3420	4.3397
24250	4.3391	4.3233
24500	4.3273	4.3281
24750	4.3190	4.3313
25000	4.3261	4.3188
25250	4.3324	4.3224
25500	4.3277	4.3145
25750	4.3295	4.3300
26000	4.3089	4.3292
26250	4.3221	4.3217
26500	4.3186	4.3260
26750	4.3148	4.3269
27000	4.3185	4.3086
27250	4.3190	4.3120
27500	4.3182	4.3242
27750	4.3240	4.3210
28000	4.3111	4.3213
28250	4.3090	4.3188
28500	4.3183	4.3169
28750	4.3155	4.3184
29000	4.3054	4.3163
